  YEAR,  LIFEEXP,GDP 
1/1/1966,34.735,697.205666
1/1/1967,35.445,678.9824782
1/1/1968,36.211,723.6913033
1/1/1969,37.023,720.5755123
1/1/1970,37.868,743.2068662
1/1/1971,38.734,721.426023
1/1/1972,39.61,702.1542839
1/1/1973,40.485,744.4206783
1/1/1974,41.352,764.3551519
1/1/1975,42.205,832.4713875
1/1/1976,43.047,865.108921
1/1/1977,43.882,865.4601011
1/1/1978,44.712,889.6183227
1/1/1979,45.533,849.0077778
1/1/1980,46.341,873.2475777
1/1/1981,47.133,874.3572813
1/1/1982,47.903,841.3980414
1/1/1983,48.645,903.5411583
1/1/1984,49.348,902.6183562
1/1/1985,49.998,859.639278
1/1/1986,50.577,854.814654
1/1/1987,51.082,833.7703156
1/1/1988,51.518,828.7897687
1/1/1989,51.892,837.2120625
1/1/1990,52.221,830.7536242
1/1/1991,52.528,824.5695842
1/1/1992,52.834,823.5562681
1/1/1993,53.157,821.663306
1/1/1994,53.508,797.8497496
1/1/1995,53.889,780.3783113
1/1/1996,54.296,773.3919103
1/1/1997,54.715,786.6661643
1/1/1998,55.133,789.4741088
1/1/1999,55.547,814.3439663
1/1/2000,55.956,832.6815374
1/1/2001,56.359,853.5315918
1/1/2002,56.761,799.8071395
1/1/2003,57.159,827.8342329
1/1/2004,57.553,858.6002969
1/1/2005,57.939,812.7663386
1/1/2006,58.313,784.0232253
1/1/2007,58.671,784.0369193
1/1/2008,59.012,808.7052436
1/1/2009,59.334,837.3348983
1/1/2010,59.637,860.6378737
1/1/2011,59.917,767.1553536
1/1/2012,60.178,783.2666928
1/1/2013,60.426,781.6818048
1/1/2014,60.667,747.7087319
1/1/2015,60.91,754.9924337
1/1/2016,61.166,747.0027351
1/1/2017,61.44,760.1247057
